,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000134321,8184.263212669674,6.287534489332479,0.16730192430836563,-37.58196156634453,0.0,0.0
ENSG00000135114,4278.544006037104,5.257256262371136,0.14665306361738606,-35.84825391774411,1.9579417606238486e-281,1.3407006205871804e-277
ENSG00000162654,3284.3579353724367,5.797958675906916,0.16899468978215768,-34.3085258085965,5.855898269058966e-258,2.673217559825418e-254
ENSG00000119917,10001.660663433171,5.691164811321587,0.16632836739491189,-34.21644125087279,1.3771386760653384e-256,4.7149785421787026e-253
ENSG00000183486,2771.785007787031,5.336497611175259,0.15608905884684585,-34.188799974836265,3.547413646863076e-256,9.716365978757965e-253
ENSG00000177409,10091.438408824546,4.8663864265498065,0.14568849633823336,-33.40268139806938,1.2534234927507205e-244,2.8609391222035196e-241
ENSG00000006210,1973.553582750754,5.315979649186598,0.16734526607019815,-31.766537375229046,1.876979460681233e-221,3.672176244861355e-218
ENSG00000132530,8524.510717336556,4.32407037068507,0.13725036179806793,-31.504983404320175,7.423261853865025e-218,1.270769638608519e-214
ENSG00000125148,2436.161495576093,4.7974524398694065,0.15655775814252654,-30.64333889797986,3.241872059216275e-206,4.9330486501074323e-203
ENSG00000185745,8991.13422025318,5.319474671500436,0.17421543559621114,-30.533888419793527,9.254174975852572e-205,1.2673592629430097e-201
ENSG00000078081,1727.4805627246621,5.062416753945412,0.16715883206081333,-30.28506894630417,1.80285162029372e-201,2.2445502672656816e-198
ENSG00000111335,3910.3594148266325,4.484529371535008,0.1507121697445736,-29.75558894238847,1.468199453094742e-194,1.6755826258443743e-191
ENSG00000138646,1482.9693233232817,4.878859101113655,0.17133715711752423,-28.475195825544887,2.3766778425467428e-178,2.503738696436742e-175
ENSG00000132274,1337.0104275375622,6.656516476607654,0.23551269462071484,-28.263939178852954,9.594801080482077e-176,9.385771485514431e-173
ENSG00000184979,2639.1098118316763,4.640551255464802,0.1664565957454832,-27.8784462380832,4.870715401187856e-171,4.446963161284513e-168
