,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000023445,11639.129650831524,1.5361641500352319,0.11939724070068868,12.86599372833221,6.993665094141556e-38,8.18258816014562e-34
ENSG00000166592,435.96643597849504,2.140619396564022,0.18099689862865473,11.826829148911878,2.8365580149098774e-32,1.6593864387222784e-28
ENSG00000070669,5598.447177866577,-1.3557713020133388,0.11721322295982768,-11.566709521143364,6.076878512597089e-31,2.369982619912865e-27
ENSG00000159167,664.7744829546504,1.6455301753609868,0.15319610975342213,10.741331343266884,6.509876858384647e-27,1.9041389810775092e-23
ENSG00000056558,839.5550479707151,1.525533569128109,0.14561277209427845,10.476646706103411,1.1059582861148126e-25,2.5879423895086616e-22
ENSG00000116285,13663.121568497903,1.2433845968321178,0.13512368258049343,9.201825861217417,3.519183004248613e-20,6.862406858284796e-17
ENSG00000123689,10033.466847803393,0.9679539836988936,0.11407326659409331,8.48537096025454,2.1503163225997555e-17,3.594100139202448e-14
ENSG00000150687,1170.3718201894849,1.145785983859719,0.13588354342830594,8.432117348074984,3.3946631524668004e-17,4.9646948604826954e-14
ENSG00000185697,6417.7395096786495,0.9836669745906639,0.12027628434734933,8.178395100316733,2.8764925804816247e-16,3.739440354626112e-13
ENSG00000186481,846.3512508750453,-1.2913382949605348,0.16455572417005193,-7.847422515828531,4.24674624681541e-15,4.96869310877403e-12
ENSG00000139278,894.757814294452,1.0719581589109328,0.13863373358562234,7.73230390025437,1.0561744031516197e-14,1.1233855015339955e-11
ENSG00000138675,2413.9058539632642,1.0381992964977773,0.13564619178659545,7.653729771721996,1.9523231801255725e-14,1.9035151006224332e-11
ENSG00000167522,21287.50239323752,-0.9291449226585335,0.12220083181209113,-7.6034255158531545,2.8839326814242626e-14,2.5955394132818362e-11
ENSG00000185561,528.2989440473763,-1.2637840744347149,0.1680499528687503,-7.520288181346593,5.465563532137761e-14,4.567649523286557e-11
ENSG00000115641,2241.6320904871245,0.930230775020901,0.1243161350195203,7.482783911153889,7.276447323978314e-14,5.675628912703085e-11
ENSG00000124762,1065.4230844589697,1.011223488046412,0.13587621581197482,7.442240586430083,9.899172271606215e-14,7.238769723612045e-11
ENSG00000116717,3142.523889951142,0.9152137641629596,0.12325955614676946,7.425093783991747,1.1270003206899337e-13,7.75641397180719e-11
ENSG00000130164,5850.446898297664,-0.8109935475753262,0.11228054088958105,-7.222921631388235,5.088234049650328e-13,3.307352132272713e-10
ENSG00000101335,1468.9735929517342,0.9110535038997458,0.12643754277704455,7.20556160685806,5.780510103567276e-13,3.559577274301954e-10
ENSG00000166920,423.79194455020945,1.3189998147649367,0.18463467012141152,7.1438360623039685,9.076164057792321e-13,5.309555973808508e-10
ENSG00000175606,2533.8982317620466,0.8435477628822564,0.1192018441379064,7.0766334949176075,1.4769847227211917e-12,8.228914883732353e-10
ENSG00000183421,510.3071691311211,1.1532786564113657,0.16353467707562816,7.052196372259451,1.761154122468445e-12,9.36613783312764e-10
ENSG00000132646,6321.559999075404,0.7833787284619891,0.1113266599889578,7.036757669184456,1.9676461733731633e-12,1.0009330534115657e-09
ENSG00000251493,2723.205367534587,0.8845106409600897,0.12603493604173305,7.01797984542324,2.250990047853286e-12,1.097357648328477e-09
ENSG00000134324,3216.984811289684,-0.8423089834001259,0.12196222954906709,-6.906310146300281,4.9742186624789645e-12,2.3279343340401556e-09
