Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2021,RNA binding (GO:0003723),132/1406,0.000614683039989047,0.4597829139118071,0,0,1.384062600389131,10.234317758875454,ACAA2;TFRC;HDLBP;GPATCH4;ADARB1;NUDT5;IFIT1;BZW1;CCAR1;HMGN5;PEG10;SRRM2;PNISR;MBNL2;DDX11;PRPF4B;THOC2;SRRM1;FAM133B;ATXN2L;LACTB2;TEP1;SBDS;FLYWCH2;PPIG;SREK1;CARS1;HOXB6;DDX6;CSTF2;MRPL16;TXN;MRPL13;HELZ2;TERT;PDCD11;PCBP1;DHX37;KHDC4;NLRP1;ZC3H13;BTF3;PRPF38B;KNOP1;LARP7;PRRC2C;UPF3B;TDRD7;EIF2S1;H1-3;H1-2;H1-5;H1-4;GNL3L;LSM6;AGO4;KYAT3;UBE2N;SUGP2;TOP2A;USP36;RBM25;DDX47;RPLP0;ADK;SRP54;MRPL39;TCF20;CHD2;KRI1;ELAVL1;DUSP14;IFIH1;DUSP11;MRPL3;C1QBP;SUMO2;ZNF768;DGCR8;ANXA7;WDR6;MRPL9;RBM33;RBM6;TOP3B;EIF5B;HSP90AA1;DDX55;RBM18;NBPF10;PRPF40B;DDX51;TFB2M;RANGAP1;PSMA6;DNAJC2;NEMF;SLTM;OAS3;LUC7L3;SNRPA1;POLR1G;SLC25A5;NSRP1;MAPRE1;TRIM56;FYTTD1;SRRT;IGHMBP2;IBA57;ATP5F1A;TCOF1;EIF4H;CTNNA1;RBBP6;RPL15;RPS2;ZNF346;SRSF11;NOP56;SPEN;CDKN2A;TRMT1;ATP5F1C;SNRNP40;EIF3H;ESF1;PABPC1L;VIM;HSPA1B;TNRC6A;TNRC6B
GO_Molecular_Function_2021,magnesium ion binding (GO:0000287),20/146,0.0036799329325532,0.614280646123397,0,0,2.081091142924832,11.664226067933436,TOP2A;PIF1;IDH2;XYLT2;NUDT5;GEM;GNAI1;STK11;PLSCR1;RAP2A;PPA2;RHEB;STK26;STK38;HACL1;HPRT1;MAP2K7;PRKACB;PGM1;AASDHPPT
GO_Molecular_Function_2021,cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861),4/10,0.0038224359424983,0.614280646123397,0,0,8.69852424455376,48.42353085647684,KAT2B;CDKN1A;CDKN2C;CDKN2A
GO_Molecular_Function_2021,protein serine/threonine kinase inhibitor activity (GO:0030291),7/30,0.0044017738009556,0.614280646123397,0,0,3.975811390079608,21.57174943663559,KAT2B;CDKN1A;CDKN2C;PRKAR2B;CDKN2A;PKIG;CIT
GO_Molecular_Function_2021,malate dehydrogenase activity (GO:0016615),3/6,0.006153479369792,0.614280646123397,0,0,13.040730337078651,66.38693633608288,MDH1;ME1;ME2
GO_Molecular_Function_2021,ubiquitin-like protein ligase binding (GO:0044389),32/282,0.0062879446961579,0.614280646123397,0,0,1.6812501792114696,8.522460621695856,RB1;CDKN1A;UBE2D4;FAF1;CUL3;CUL2;UBE2D1;TANK;HDAC6;LAPTM4B;PRKAR2B;DBT;SUMO2;SNX9;PRKACB;WASHC1;CDK5RAP3;JAK1;USP25;HSP90AA1;STAT2;TRAF1;SMAD7;PSMA3;UBE2N;SPOPL;TRIB3;SLC25A5;TP53;SQSTM1;RAD18;HSPA1B
GO_Molecular_Function_2021,DNA polymerase binding (GO:0070182),5/18,0.007178282460923,0.614280646123397,0,0,5.020015146597425,24.782284357397327,HSP90AA1;RTEL1;PCNA;CDK2AP1;SMARCA4
GO_Molecular_Function_2021,"exodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016895)",4/12,0.0080294892241404,0.614280646123397,0,0,6.523190442726634,31.47200875656984,DCLRE1A;DCLRE1C;EXO1;TREX1
GO_Molecular_Function_2021,ubiquitin protein ligase binding (GO:0031625),30/265,0.0082270186345743,0.614280646123397,0,0,1.6757489453083354,8.044150591945728,RB1;CDKN1A;UBE2D4;FAF1;CUL3;CUL2;UBE2D1;TANK;HDAC6;LAPTM4B;PRKAR2B;DBT;SUMO2;SNX9;PRKACB;WASHC1;JAK1;USP25;HSP90AA1;TRAF1;SMAD7;PSMA3;UBE2N;SPOPL;TRIB3;SLC25A5;TP53;SQSTM1;RAD18;HSPA1B
GO_Molecular_Function_2021,kinase binding (GO:0019900),47/461,0.008613230623511,0.614280646123397,0,0,1.4938615837009033,7.102498890925032,RB1;LRRC14;ERRFI1;CDKN1A;MIDN;TFRC;FAF1;GATA6;DBF4B;ELAVL1;PKD1;PPP1CB;GOLGA2;LAPTM4B;GYS1;RNF138;PDCD10;RBBP6;FBXO5;MAP2K7;CDK5RAP3;CDKN2C;CDKN2A;GADD45A;STK11IP;PGAM1;CEP152;TPRKB;SNAP91;CIT;NISCH;ARHGAP33;CYLD;KAT2B;MAVS;DLG4;DGKQ;FAS;TRIB3;VDAC1;TRIM38;MAPRE1;SQSTM1;TP53;LAT;ATF4;RAD9A
GO_Molecular_Function_2021,single-stranded DNA helicase activity (GO:0017116),5/19,0.0091788604028767,0.614280646123397,0,0,4.661191480811734,21.864960411091516,PIF1;RFC3;MCM6;CHTF18;MCM2
GO_Molecular_Function_2021,cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:0097200),4/13,0.0109515426764356,0.614280646123397,0,0,5.798079175450925,26.17412357376708,CASP7;CASP3;CASP4;CFLAR
GO_Molecular_Function_2021,ubiquitin-like protein-specific protease activity (GO:0019783),5/20,0.0115325843641589,0.614280646123397,0,0,4.350210970464135,19.413159370729144,USP25;COPS2;EIF3H;SENP2;SENP3
