Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Formation Of Senescence-Associated Heterochromatin Foci (SAHF) R-HSA-2559584,10/17,4.053589770485076e-08,5.375060035663211e-05,0,0,18.71761266256679,318.5939430881796,RB1;H1-5;H1-4;CDKN1A;UBN1;TP53;H1-3;ASF1A;CABIN1;H1-2
Reactome_2022,Cell Cycle R-HSA-1640170,78/654,5.1257721171157366e-06,0.0026044711617016,0,0,1.806592846553002,22.00652187329794,RB1;TOP2A;CDKN1A;CEP164;UBE2D1;RSF1;CHTF18;CDC14A;PPP1CB;GOLGA2;EXO1;MYC;FBXO5;SKP2;GTSE1;NINL;PHLDA1;SUN2;HSP90AA1;RFC3;RMI1;CEP131;ATRX;ESCO2;RANGAP1;HAUS1;SMC1B;PSMA5;H2BC12;PSMA6;PSMA3;TFDP1;CCNE2;NUP54;MCM6;MAPRE1;TP53;SFI1;PSMD10;PIF1;RAB1A;RTEL1;PCNA;PSMD14;RRAD;PRIM1;TYMS;ANAPC10;NCAPH;TERT;PRKAR2B;NUP43;E2F5;PCNT;LYN;CENPT;GINS2;CDK11A;CDKN2C;NUP155;CDKN2A;CEP152;NEK7;FBXL18;REC8;CENPE;CENPF;STAG3;PSMC4;PSMC2;CHMP2B;UBE2N;TUBGCP6;MDM4;ATM;LPIN3;RAD9A;NUP37
Reactome_2022,Cellular Responses To Stress R-HSA-2262752,84/722,5.892468691632763e-06,0.0026044711617016,0,0,1.7582635609698027,21.17272059393268,RB1;CDKN1A;ACADVL;UBE2D2;RPLP0;UBE2D1;HIKESHI;SLC7A11;CABIN1;MYC;CREB3L2;SESN2;CHAC1;SKP2;TSPYL2;HSP90AA1;SZT2;DDX11;ITFG2;ARFGAP1;PSMA5;H2BC12;PSMA6;DNAJC2;PSMA3;TFDP1;CCNE2;DDIT3;AKT1S1;TRIB3;NUP54;KDELR3;SQSTM1;TP53;ASF1A;ATF4;PSMD10;DCTN6;COX19;PSMD14;MRPL18;CUL3;CUL2;MRPL13;ANAPC10;HDAC6;HELZ2;MAPK9;BAG2;UBN1;NUP43;RPL15;RPS2;VHL;MAP2K7;ATP6V1F;EGLN1;CDKN2C;NUP155;CDKN2A;EDEM1;TXNRD1;ASNS;EIF2S1;H1-3;NFKB1;H1-2;H1-5;TNRC6C;H1-4;MAPK11;AGO4;PSMC4;RHEB;MAFG;PSMC2;CREBRF;MDM4;ATM;LAMTOR3;HSPA1B;TNRC6A;TNRC6B;NUP37
Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,84/736,1.2215292019718854e-05,0.0035173002282168,0,0,1.7191664116139582,19.44862351166461,RB1;CDKN1A;ACADVL;UBE2D2;RPLP0;UBE2D1;HIKESHI;SLC7A11;CABIN1;MYC;CREB3L2;SESN2;CHAC1;SKP2;TSPYL2;HSP90AA1;SZT2;DDX11;ITFG2;ARFGAP1;PSMA5;H2BC12;PSMA6;DNAJC2;PSMA3;TFDP1;CCNE2;DDIT3;AKT1S1;TRIB3;NUP54;KDELR3;SQSTM1;TP53;ASF1A;ATF4;PSMD10;DCTN6;COX19;PSMD14;MRPL18;CUL3;CUL2;MRPL13;ANAPC10;HDAC6;HELZ2;MAPK9;BAG2;UBN1;NUP43;RPL15;RPS2;VHL;MAP2K7;ATP6V1F;EGLN1;CDKN2C;NUP155;CDKN2A;EDEM1;TXNRD1;ASNS;EIF2S1;H1-3;NFKB1;H1-2;H1-5;TNRC6C;H1-4;MAPK11;AGO4;PSMC4;RHEB;MAFG;PSMC2;CREBRF;MDM4;ATM;LAMTOR3;HSPA1B;TNRC6A;TNRC6B;NUP37
Reactome_2022,"Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643",14/53,1.4232057742654164e-05,0.0035173002282168,0,0,4.708585116228428,52.54787370017012,CHUK;RIPK2;CARD9;TNFAIP3;NFKB1;NFKB2;PANX1;CYLD;MAPK11;IRAK2;CASP4;UBE2N;NLRP1;BIRC3
Reactome_2022,Interleukin-1 Signaling R-HSA-9020702,22/114,1.5915385648040075e-05,0.0035173002282168,0,0,3.1454587652792823,34.75173385760109,PSMD10;LRRC14;MAP2K1;PSMD14;CHUK;RIPK2;IL1RAP;AGER;TANK;USP18;NFKB1;NFKB2;PSMA5;PSMA6;PSMA3;IRAK2;PSMC4;TIFA;PSMC2;UBE2N;SQSTM1;TP53
Reactome_2022,Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,20/103,3.473392133500921e-05,0.0065795970986031,0,0,3.166611006927497,32.51410882728977,LRRC14;MAP2K1;CHUK;RIPK2;UBE2D2;UBE2D1;AGER;TANK;USP18;NFKB1;NFKB2;MAPK9;MAPK11;RPS6KA5;IRAK2;TIFA;UBE2N;MAP2K7;TP53;BIRC3
Reactome_2022,Cellular Senescence R-HSA-2559583,27/165,4.2249847331608125e-05,0.007002912195214,0,0,2.576319875776397,25.94846145016359,RB1;CDKN1A;UBE2D1;ANAPC10;CABIN1;MAPK9;UBN1;MAP2K7;CDKN2C;CDKN2A;H1-3;NFKB1;H1-2;H1-5;H2BC12;TNRC6C;H1-4;MAPK11;TFDP1;CCNE2;AGO4;ATM;MDM4;TP53;ASF1A;TNRC6A;TNRC6B
Reactome_2022,TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989,12/45,5.23402935875321e-05,0.0074114894987493,0,0,4.764535817539351,46.96757461417292,LRRC14;CHUK;IRAK2;RIPK2;TIFA;UBE2N;AGER;TANK;USP18;TP53;NFKB1;NFKB2
Reactome_2022,MyD88-independent TLR4 Cascade R-HSA-166166,20/107,6.125515921506815e-05,0.0074114894987493,0,0,3.020366149547828,29.298948509562894,LRRC14;MAP2K1;CHUK;RIPK2;UBE2D2;UBE2D1;AGER;TANK;USP18;NFKB1;NFKB2;MAPK9;MAPK11;RPS6KA5;IRAK2;TIFA;UBE2N;MAP2K7;TP53;BIRC3
