Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cellular response to hypoxia (GO:0071456),22/131,2.162309328082837e-07,0.0007360500952793978,0,0,4.133577981651376,63.43768591484863,EGLN1;SUV39H2;PSMD12;ACAA2;PSMD14;CUL2;GATA6;PSMA5;PSMA6;PSMD6;SFRP1;PSMA3;TERT;PSMA1;PSMA2;PSMC4;MYC;PSMD2;PSMC2;PGK1;UBQLN1;VHL
GO_Biological_Process_2021,regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),17/87,5.673392666684698e-07,0.0009308532149711464,0,0,4.95715821812596,71.29537807371244,EGLN1;PSMD12;PSMD14;CUL2;PSMA5;PSMA6;PSMD6;PSMA3;MUC1;PSMA1;PSMA2;PSMC4;PSMD2;DDIT3;PSMC2;VHL;ATF3
GO_Biological_Process_2021,negative regulation of mitotic cell cycle phase transition (GO:1901991),17/92,1.2937603207511106e-06,0.0009308532149711464,0,0,4.625462365591398,62.71182264498236,CDKN1A;PSMD12;CDKN2C;PSMD14;KLF4;PSMA5;PSMA6;PSMD6;PSMA3;PSMA1;PSMA2;PSMC4;PSMD2;PSMC2;FBXO5;DACT1;SKP1
GO_Biological_Process_2021,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)",15/73,1.33399224204524e-06,0.0009308532149711464,0,0,5.270922746781116,71.30153472956135,PSMD12;CHUK;PSMD14;SNAP23;PSMA5;PSMA6;PSMD6;PSMA3;PSMA1;PSMA2;PSMC4;PSMD2;PSMC2;ITGAV;VAMP3
GO_Biological_Process_2021,NIK/NF-kappaB signaling (GO:0038061),15/74,1.6006796677340072e-06,0.0009308532149711464,0,0,5.181312286317015,69.14503850250794,PSMD12;CHUK;PSMD14;PSMA5;PSMA6;PSMD6;PSMA3;PSMA1;PSMA2;PSMC4;PSMD2;PSMC2;COPS8;SKP1;BIRC3
GO_Biological_Process_2021,interleukin-1-mediated signaling pathway (GO:0070498),17/94,1.7680356234502323e-06,0.0009308532149711464,0,0,4.504845691942466,59.669570800259294,PSMD12;CHUK;PSMD14;RIPK2;NFKB1;PSMA5;PSMA6;PSMD6;PSMA3;PSMA1;PSMA2;PSMC4;PSMD2;PSMC2;UBE2N;SQSTM1;SKP1
GO_Biological_Process_2021,regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418),15/75,1.9142104890711004e-06,0.0009308532149711464,0,0,5.094688841201717,67.0777192105964,EGLN1;PSMD12;PSMD14;CITED2;CUL2;PSMA5;PSMA6;PSMD6;PSMA3;PSMA1;PSMA2;PSMC4;PSMD2;PSMC2;VHL
GO_Biological_Process_2021,regulation of mitotic cell cycle phase transition (GO:1901990),25/188,3.0524931006694965e-06,0.0011573547813793,0,0,3.1423419347111508,39.90633445971733,PSMD12;PSMD14;CUL3;PKD1;PSMD6;PSMD2;FBXO5;NINL;SKP1;HSP90AA1;CEP152;HAUS1;PSMA5;ANLN;PSMA6;PSMA3;PSMA1;PSMA2;PSMC4;ID2;PSMC2;CDK1;MAPRE1;SFI1;MAD2L1
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),15/78,3.211260671478687e-06,0.0011573547813793,0,0,4.851318209687308,61.36358161466555,PSMD12;CHUK;PSMD14;SNAP23;PSMA5;PSMA6;PSMD6;PSMA3;PSMA1;PSMA2;PSMC4;PSMD2;PSMC2;ITGAV;VAMP3
GO_Biological_Process_2021,regulation of cellular amine metabolic process (GO:0033238),12/51,3.39998466915206e-06,0.0011573547813793,0,0,6.257178116001645,78.7887576891734,PSMA5;PSMA6;NQO1;PSMD6;PSMA3;PSMD12;PSMA1;PSMD14;PSMA2;PSMC4;PSMD2;PSMC2
GO_Biological_Process_2021,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146),16/89,3.841768691855064e-06,0.0011888527842795,0,0,4.468313641245972,55.71798414003148,PSMD12;PSMD14;FBXO2;CUL2;PSMA5;FBXL20;PSMA6;PSMD6;PSMA3;PSMA1;PSMA2;PSMC4;PSMD2;PSMC2;FBXL2;SKP1
