,symbol,rank
0,LOC100506207,-0.7477560583177817
1,H2AC25,-0.7577720549650035
2,POU2F2-AS1,-0.7577720549650035
3,SOWAHA,-0.7577720549650035
4,LAPTM5,-0.7577720549650035
5,RASA4CP,-0.7822586060266615
6,DYNLT4,-0.7822712074076361
7,TREX2,-0.7943431881397358
8,RTN4R,-0.7943605007141953
9,CCDC69,-0.8378229351467035
10,CD109,-0.8913323903190198
11,APOBEC2,-0.8913780092058522
12,LINC02591,-0.8949414041210054
13,SMC5-DT,-0.9263021370525055
14,NHLH1,-0.9356470110516951
15,PI16,-0.9356470110516951
16,GORAB-AS1,-0.9356470110516951
17,HDHD5-AS1,-0.9356470110516951
18,MUSTN1,-0.9356470110516951
19,SIX3-AS1,-0.9367323977387412
20,LINC01844,-0.9367323977387412
21,RPS6KL1,-0.9397574693762578
22,PCDHB7,-0.9397574693762578
23,NBPF6,-0.9397574693762578
24,EPO,-0.946407889983419
25,PFKFB1,-0.9558893408861756
26,LINC01327,-0.9561883654394416
27,PLEKHG4B,-0.9586262046615314
28,BHMT2,-0.973176728723205
29,GAGE2A,-0.9924823505638752
30,KCND2,-1.0166332474853375
31,PCDHGA7,-1.0284470856518688
32,GALNT3,-1.0511719209262116
33,MASP2,-1.0568419597292023
34,TGFB2-AS1,-1.057791340949108
35,TLL2,-1.0581317280449665
36,SNX32,-1.0787746550923023
37,DEF6,-1.089627577802548
38,KEL,-1.1056584594310652
39,RDH16,-1.1099038403246666
40,EMX2OS,-1.1099038403246666
41,SRGAP2-AS1,-1.1099038403246666
42,LINC01124,-1.1099038403246666
43,TLDC2,-1.1153580342117606
44,TPRG1,-1.116150706229059
45,FAM133DP,-1.1363159725226428
46,CASC11,-1.1566836826576528
47,ARRDC4,-1.1674881243335204
48,ODF3L2,-1.1674881243335204
49,PLEKHG7,-1.1674884467577546
50,BSPRY,-1.169377913262784
51,LINC01431,-1.1693977478436601
52,SLFN12,-1.1749463660530968
53,SH3BGR,-1.1879111960288333
54,ATG9B,-1.1879111960288333
55,IL1RAPL1,-1.1879111960288333
56,LINC02601,-1.1933380195368437
57,CHRNE,-1.1953182885671425
58,MIR29B2CHG,-1.2081982446174724
59,CAGE1,-1.2113513624835028
60,MMP15,-1.2517404611968153
61,ENTPD8,-1.2517404611968153
62,PLSCR4,-1.2835669385152695
63,DNAH2,-1.2849050698572675
64,LRRC70,-1.2854154345084017
65,RAB11FIP4,-1.2932679975040577
66,SLIT1,-1.2982589833563738
67,BAIAP2L2,-1.2990112930320308
68,TNFRSF6B,-1.3185066560424403
69,BOK-AS1,-1.3185066560424403
70,LINC00327,-1.3185066560424403
71,FNDC1-AS1,-1.3185066560424403
72,SCN1A-AS1,-1.3185066560424403
73,SLFNL1-AS1,-1.3219126621882342
74,ZNRF3-AS1,-1.323360065005071
75,SNORD89,-1.3251246095880147
76,ANP32C,-1.334662841060465
77,TC2N,-1.342668318496837
78,GPR52,-1.342668318496837
79,KLF15,-1.342668318496837
80,KRT17P5,-1.3430455917648525
81,ADGRF3,-1.3498184576494692
82,ZNF469,-1.361900874874164
83,SERINC4,-1.3619099573301965
84,RFPL3S,-1.3676306397065334
85,EXD1,-1.3773642503134733
86,EPAS1,-1.3773642503134733
87,NMUR1,-1.3781471890288324
88,SNORD11,-1.378177625512403
89,AXDND1,-1.3821621653429061
90,TEX12,-1.3821621653429061
91,SVEP1,-1.3821621653429061
92,EFCAB6,-1.3833677074338768
93,EBF3,-1.3986690737114411
94,JAKMIP1-DT,-1.3991204927329086
95,FYB1,-1.3991248510373053
96,NYNRIN,-1.407590819690732
97,OGFRP1,-1.4165622258610282
98,SLC28A2-AS1,-1.432592272774552
99,SLC22A17,-1.4419900941994048
100,GPR22,-1.4507600090984318
101,SMG1P1,-1.4569100863056217
102,ENO4,-1.457984244335575
103,GPR199P,-1.4713964590931492
104,EMC1-AS1,-1.472860514714515
105,GRIN3B,-1.4765615034585677
106,TRPM2,-1.4812475644308225
107,SOX18,-1.4833419321667525
108,LINC00923,-1.4847186841181799
109,CEBPA-DT,-1.4853490508754617
110,SHANK3,-1.490371024097274
111,NXPH3,-1.4946569136701418
112,NTNG2,-1.4946569136701418
113,CYFIP2,-1.5079637890971849
114,MIR7703,-1.5079682231447482
115,GOLGA6C,-1.5254295427748727
116,SCARNA2,-1.5254295427748774
117,SLC5A2,-1.5254295427748774
118,LINC01118,-1.5254295427748774
119,SNAP25-AS1,-1.5296364318918436
120,HNRNPA1P10,-1.5296545277751261
121,PARM1,-1.5296581677419983
122,NUDT9P1,-1.5296581677419983
123,DCN,-1.532067642414582
124,MIR3939,-1.5457597703135442
125,CDH4,-1.5457668421363193
126,TUBBP5,-1.5497318066016237
127,NKX2-2,-1.5497318066016237
128,SLN,-1.5527838219423193
129,NPTX2,-1.5608230803468641
130,XIRP2,-1.5626121824092296
131,LIMS2,-1.5626121824092296
132,SLC26A7,-1.5626121824092296
133,TSKS,-1.5636815893586358
134,KANSL1L-AS1,-1.5743659656947329
135,ELOVL3,-1.5806033534617288
136,RNASE4,-1.6035931975440807
137,MAFA,-1.6046144210995963
138,SIGLEC10-AS1,-1.6080353048167213
139,OVGP1,-1.6080353048167213
140,ARPP21,-1.617014487928408
141,MINAR1,-1.6222657496666315
142,LINC01002,-1.6269920175606454
143,IL18,-1.6316323139913655
144,LINC01503,-1.6350068146492642
145,RBM20,-1.6365908502422783
146,ADAMTS20,-1.6403580868581455
147,CLDN22,-1.6532916751238367
148,GNGT1,-1.6543602365448375
149,YWHAEP1,-1.6672961230117573
150,SNORA65,-1.6673547352376696
151,CFAP58-DT,-1.6687926640720387
152,RGS4,-1.6720024967668636
153,SEPTIN14,-1.6752328239649787
154,LINC01545,-1.6752328239649787
155,SNORA20,-1.6752328239649787
156,PRPH,-1.6754280463548334
157,NRG3,-1.6868893598643067
158,TCF15,-1.6887959629349578
159,DIO2,-1.6907381664106076
160,FABP6,-1.7027970410726914
161,BTG1-DT,-1.7027970410726914
162,HSPA12A,-1.7096193585948953
163,GOLGA6L4,-1.7159097534320709
164,FAM74A7,-1.716094188853779
165,NPL,-1.7161174437741011
166,STEAP3-AS1,-1.7161174437741011
167,TRPV3,-1.7184808535564557
168,LRRIQ3,-1.7195919042938792
169,ZNF670-ZNF695,-1.7240557382938897
170,OR7E156P,-1.7260330751728519
171,COMETT,-1.7327660820662583
172,LINC01361,-1.7327660820662583
173,HLA-G,-1.7327660820662583
174,ESRP1,-1.7327660820662583
175,B3GALT5,-1.7345799491432516
176,CTNND2,-1.7347001665666344
177,ECM1,-1.7348959468792857
178,PBX3-DT,-1.7376285913320593
179,SYNPO2,-1.7376285913320593
180,LINC01841,-1.7376285913320593
181,DTX4,-1.7376285913320593
182,C3orf20,-1.7376285913320593
183,BHMT,-1.7376285913320593
184,LINC02333,-1.7419910431699315
185,C10orf143,-1.7453756025351705
186,TNFRSF13C,-1.7481056783409077
187,C15orf62,-1.7554456244997236
188,FBXO24,-1.7561156144884182
189,SCARA3,-1.7725785609766165
190,MIR7110,-1.7823282740848545
191,PROM2,-1.8000828543723235
192,HEATR4,-1.8043821765629646
193,MIP,-1.8056143840198813
194,IDH1-AS1,-1.8096271216239002
195,RSPO4,-1.814423531803286
196,NECAB2,-1.8207068691711044
197,SMPD3,-1.838614729812971
198,DDX39B,-1.8533721140113395
199,RNF148,-1.8734740471954765
200,MUC12,-1.8734740471954765
201,RHBDL2,-1.8734740471954765
202,MAGEE1,-1.8758853857996636
203,LGI2,-1.876923773006699
204,MID1IP1-AS1,-1.8770917308491422
205,MRPS9-AS1,-1.8941102478282317
206,FRG1DP,-1.8941102478282317
207,PAPPA,-1.8949811164087305
208,RDH14,-1.8954416085607064
209,DISC1,-1.8955031375863225
210,SIRPB1,-1.8955031375863225
211,BMP3,-1.9050659811606883
212,NDUFA4L2,-1.9087317046556012
213,SLC16A4,-1.9121668955793316
214,EGLN2,-1.9189304752011793
215,SHISAL2B,-1.9189304752011793
216,CYTH4,-1.9260597254627534
217,SNORD19B,-1.9292059335005545
218,FLRT1,-1.9368273368882212
219,PNMT,-1.9387962685642144
220,SUGT1P1,-1.9499452826218082
221,TTC39A,-1.9936760030458691
222,MYOM2,-1.993683170388368
223,C19orf38,-1.9954560100711383
224,MAP3K20-AS1,-1.996909323543547
225,LRRC19,-1.9969439867643781
226,SLC23A1,-2.0183939349425772
227,PRLR,-2.0183939349425772
228,OSCAR,-2.029735415465001
229,SPOCK2,-2.038412350306712
230,WASH5P,-2.0390512505014913
231,VAX1,-2.041098328182409
232,SNORA84,-2.0432980890167696
233,AOC3,-2.043353653903414
234,ADAM28,-2.0438887395181244
235,LERFS,-2.04392663530628
236,SNORA58,-2.0445627194978417
237,BEND3P3,-2.0447218259096704
