,symbol,rank
0,ANKRD11,inf
1,RPS15AP10,inf
2,STAP1,inf
3,LINC01949,inf
4,CACNG8,inf
5,LINC00342,inf
6,TLCD2,inf
7,MROH6,inf
8,GUSBP14,inf
9,SNORD42A,12.696012098952497
10,ANKRD20A5P,8.713787040733223
11,DDIT4,7.712160382227927
12,REC8,6.5710078825097735
13,SAP25,6.436246282048251
14,FOXH1,5.812769019705323
15,PILRB,5.5000980320172745
16,CEP295NL,5.109128315939503
17,LINC00685,4.647500456765859
18,TMEM240,4.473990311740328
19,GARIN1A,4.12069305806632
20,PIF1,3.7730013937068496
21,CCND2,3.7728797051686263
22,AGAP12P,3.5314602321169497
23,ADM2,3.450113275397635
24,SNORA61,3.2604391310597465
25,CELF5,2.9002758823145833
26,C9orf153,2.8703012228368356
27,LENG9,2.81768229448967
28,SNORA7B,2.7407822625342555
29,MYOZ3,2.6591866719788024
30,IDI2-AS1,2.6584582463702278
31,CHAC1,2.6057723615105615
32,VN1R1,2.22143637193426
33,BCYRN1,2.125614713937924
34,ANKRD20A11P,1.9712545247369837
35,PCDHGB8P,1.8217263652942528
36,ITPR1-DT,1.7435581990432436
37,CEMP1,1.7435243960776092
38,BNIPL,1.7233231970334657
39,FALEC,1.7069297908830052
40,PITRM1-AS1,1.662072991464812
41,NBPF7P,1.6149760721051991
42,CCDC154,1.5954065627170282
43,SLC24A4,1.5520082526681933
44,GIPC3,1.4161227077362348
45,PCDH11Y,1.2526037688114104
46,TAS1R3,1.2520426411415326
47,SCARNA10,1.2376616934014828
48,HHIPL2,1.2266311807278671
49,TTLL9,1.132348922042414
50,BTBD19,1.1002429988396965
51,DNAH12,1.0985426120058785
52,PDE11A,1.0918691076312337
53,SNORD83B,1.0840228490288804
54,BISPR,1.083960307499916
55,TMEM106A,1.018527912731222
56,IBA57-DT,0.9317242788744204
57,MFNG,0.8602197093322925
