,symbol,rank
0,TBC1D3P1-DHX40P1,-0.6729742946779629
1,HLA-G,-0.6999140884301116
2,LINC01194,-0.7074816902984831
3,GATA2-AS1,-0.7074928565402377
4,SLC22A23,-0.7471542603907025
5,LHX1,-0.7653430226323401
6,PPFIBP2,-0.7715930933945037
7,TTC41P,-0.7730526068786399
8,SKP1P2,-0.8156367422634018
9,AURKC,-0.8474190737821419
10,STX1B,-0.8492742759981519
11,ERI3-IT1,-0.8592891985626706
12,PTTG3P,-0.8645781114386113
13,RAB3IL1,-0.8752168576227775
14,PHF21B,-0.9065575778821491
15,SLC37A2,-0.9280896838553796
16,APOC1P1,-0.9564315975002511
17,KCNJ12,-0.9646903976580721
18,RTCA-AS1,-0.9679662719978037
19,SIRPB1,-0.9716978117368334
20,SCARNA8,-0.9768349578875083
21,ZBTB8B,-1.0061328501795215
22,KCNH7,-1.0213506703451924
23,PCDHGB1,-1.0222553037581674
24,PCBP1-AS1,-1.0248570415342029
25,NECTIN3-AS1,-1.0281761420869284
26,RAPGEF4,-1.0298587695303467
27,POTEI,-1.033931126062223
28,TBX6,-1.040393346344312
29,CLDN22,-1.0498123372095194
30,EFCAB6,-1.0500576821304473
31,STAC3,-1.0531587877710482
32,LINC00327,-1.0549032315564384
33,CES3,-1.0594262698222645
34,KRT34,-1.0602280081952005
35,PCDHGA10,-1.0608013740941549
36,DNAI7,-1.0614273552043236
37,LACTB2-AS1,-1.0678174480845843
38,SNORD65,-1.0695052348654528
39,LIN28B-AS1,-1.079703322996961
40,PAX9,-1.0864763646134568
41,LINC01327,-1.0870660150688585
42,KCND2,-1.0880728207868229
43,NPNT,-1.0893795745939023
44,SLC39A5,-1.09017875278813
45,SMC5-DT,-1.0906841750409793
46,BSCL2,-1.0956271505195285
47,TIPARP-AS1,-1.1044387443897996
48,STXBP5-AS1,-1.1063529267605086
49,PPIAP46,-1.1079045543099681
50,DDX39B,-1.1083359457874915
51,HAGLR,-1.1165568697847097
52,RFX3-DT,-1.1174639478031627
53,SGO1-AS1,-1.1207471919421175
54,ARRDC3-AS1,-1.1235330912537944
55,PDE11A,-1.1277673758950753
56,GOLGA8N,-1.1277966220833597
57,SNORA58,-1.1361311992548069
58,PLXNC1,-1.1399613764792966
59,TCP10L,-1.1458863390643637
60,PTAFR,-1.1575714993225166
61,PTPRN2,-1.181911739116912
62,ADNP-AS1,-1.1901430302531004
63,MAP10,-1.1936233348364462
64,INKA1,-1.1977510524381105
65,PCDHGA4,-1.202985439820016
66,GJC2,-1.2103345842439048
67,SCN5A,-1.216702666471664
68,ULK4P3,-1.226630138238587
69,GEMIN7-AS1,-1.2333625957084342
70,CALML6,-1.2405785952973158
71,IL20RA,-1.2414835976128746
72,CLDN6,-1.2483897440032565
73,PLEKHA7,-1.2557608733807502
74,SCUBE2,-1.2673354248092763
75,LMNTD2,-1.2696937458699742
76,B3GALT5,-1.2703502042733306
77,LKAAEAR1,-1.2737476121802405
78,NEFL,-1.2751774047428857
79,ZHX2,-1.2758712640484042
80,WDR87BP,-1.2770610703339471
81,ARPP21,-1.2782886347617526
82,BMP3,-1.2795004390679912
83,PGM5-AS1,-1.2895348442793233
84,IQGAP2,-1.298429467941884
85,DPY19L1P2,-1.299004646683451
86,C15orf62,-1.3003527616050856
87,SGK3,-1.3003938798860755
88,LOC101927394,-1.303965217459783
89,ZNF662,-1.3130320764572871
90,FAM74A7,-1.313093283573643
91,SMCR2,-1.3204371294447639
92,H2AC16,-1.327717773591123
93,RAB3A,-1.3313008295827986
94,NR2F2-AS1,-1.340025677391093
95,WASIR2,-1.3430786393668936
96,MYHAS,-1.3454860618134177
97,C14orf178,-1.3469758035665198
98,CLVS2,-1.3705388727698256
99,MID1IP1-AS1,-1.376680003361794
100,ARMCX4,-1.3825005708830174
101,NFATC2,-1.3860355103690725
102,PHACTR1,-1.3941229982011945
103,PGM5,-1.3968679387717926
104,H2AC14,-1.4126061713818912
105,IPO9-AS1,-1.4129312324165741
106,AMDHD1,-1.4198530534041482
107,SBK1,-1.424212519649178
108,BTG2,-1.4291495282486704
109,H4C5,-1.4367950335986945
110,SNORA31,-1.438459351218737
111,LINC01881,-1.451870639606053
112,SEPTIN1,-1.46181620739345
113,FAM186B,-1.4697613305295427
114,MRPS24,-1.4710063628136152
115,DPRXP4,-1.4714879236474594
116,ANO5,-1.5104310526983482
117,HCN2,-1.5119227882867037
118,PCDHGB7,-1.5126860732284106
119,RSPO4,-1.5213525294110037
120,DGCR6,-1.5292258748981338
121,AFTPH-DT,-1.5315284233702964
122,SPATA17,-1.5355979898490175
123,NRG3,-1.5480552867528672
124,FEZ1,-1.5511661860286863
125,LINC01011,-1.5517071710432702
126,FAHD2CP,-1.5578908387403418
127,C22orf23,-1.5602150909030028
128,SNORA84,-1.5617903902528416
129,ZNF729,-1.5709859128057622
130,TMEM238,-1.5787050371725027
131,MARCHF1,-1.5803935054572489
132,MIR9-1HG,-1.5807015821613621
133,KCNK2,-1.588104757466391
134,DENND6B,-1.5911235385399807
135,MAMDC2-AS1,-1.596886994283408
136,HMGN2P46,-1.601391552179024
137,SLC25A41,-1.6033971581881392
138,LYRM9,-1.6039527683565065
139,FOXA3,-1.6143167091331319
140,LINC02728,-1.6214837377229714
141,CD19,-1.6229516704700444
142,UBE2D3-AS1,-1.6260132889051768
143,SYN1,-1.6343583672782327
144,FBXO32,-1.634611250476906
145,TXK,-1.6366319042743762
146,FAM89A,-1.6414441991948843
147,MITF,-1.646502603406766
