,symbol,rank
0,ANKRD11,inf
1,MAMDC4,inf
2,SVOP,inf
3,TLCD2,inf
4,MIOX,inf
5,DDIT4,inf
6,SYCP2L,inf
7,ANKRD20A5P,inf
8,CHAC1,inf
9,ZGLP1,inf
10,DDIT3,inf
11,LINC00342,inf
12,ASNS,inf
13,ATP5MGL,8.045927175579012
14,RPS15AP10,6.772205634526461
15,PTPRCAP,6.468879862769784
16,MROH6,6.454648785173985
17,CHP1P2,6.012317411679375
18,SAP25,5.931608502503213
19,SPINK5,5.2558874413101515
20,ALDH1L2,5.217566330672743
21,REC8,4.634032880949185
22,NFATC4,4.323923401324812
23,CCND2,4.31348741393488
24,SNORD42A,4.150576675359999
25,ADM2,4.0377943619562
26,GARIN1A,3.621249220096988
27,ITPR1-DT,3.516924420608386
28,TMEM254-AS1,3.461525143425946
29,NHLH1,3.4334456456418243
30,STAM-DT,3.418481697715712
31,ACRBP,3.380098242455967
32,TGM1,3.2203036378247973
33,CAPS,3.033344999688878
34,CYP4F35P,2.960821385010253
35,MAFA-AS1,2.85595847212791
36,BCYRN1,2.842484598206368
37,TMEM240,2.8122827497021605
38,IDI2-AS1,2.682263978936476
39,CEP295NL,2.625634848341446
40,LINC00685,2.580553912917197
41,FES,2.4516548695972986
42,ANKRD20A11P,2.4175090693684393
43,PTMAP11,2.3844641391464436
44,CCDC154,2.3092233791301036
45,LYG1,2.1501201020872767
46,HEATR6-DT,1.937233889795041
47,RHBDL1,1.9237758252409078
48,CELF5,1.9132940497173179
49,SLC6A9,1.8264433817007395
50,ULBP1,1.8078270899110291
51,FALEC,1.7328218495707826
52,NPAS3,1.692303897603157
53,AGAP12P,1.565682942206903
54,AIFM3,1.4679967000667085
55,AMT,1.3979443654259525
56,LINC00910,1.381610499590555
57,PIANP,1.367284595003386
58,LINC00311,1.354871069618795
59,NOTCH3,1.3283930038734857
60,SNORD83B,1.303492536267223
61,PILRB,1.2829594274616727
62,BNIPL,1.2022665858962671
63,PSORS1C1,1.1154689933138786
64,LINC01976,1.111791621936897
65,IL9R,1.0651722139904942
66,ECE1-AS1,0.9267339379218787
67,MLXIPL,0.8827295609271268
68,CAPN3,0.7976576304500225
69,LENG9,0.7959560458139824
70,ZNF516-AS1,0.7793303047915103
