Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2021,"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)",3/5,0.0008650036793441399,0.2439541541263522,0,0,31.714285714285715,223.673778433871,PRDX3;PGK1;TXN
GO_Molecular_Function_2021,calcium channel regulator activity (GO:0005246),7/37,0.0011960623729225,0.2439541541263522,0,0,4.948016314423433,33.293818678273475,CACNG8;RRAD;MCUB;SRI;SGK1;CALM2;GEM
GO_Molecular_Function_2021,RNA binding (GO:0003723),88/1406,0.001213702259335,0.2439541541263522,0,0,1.4509351428963644,9.741694438972212,TOP2A;RBM25;DDX47;RPLP0;ADK;MRPL39;PSIP1;CHD2;BZW1;MRPL32;CCAR1;DUSP14;IFIH1;DUSP11;RBM3;PEG10;C1QBP;SUMO2;MYO18A;ANXA7;PELP1;RBM33;TOP3B;EIF5B;PNISR;HSP90AA1;MBNL2;GLRX3;MRPS23;PRPF40B;ZCRB1;TFB2M;THOC2;PSMA6;DNAJC2;PKM;NEMF;SLTM;SYF2;CCDC86;STRAP;LUC7L3;SNRPA1;TOP1;PPIG;SREK1;SLC25A5;CARS1;NSRP1;MAPRE1;SRSF7;HOXB6;TRIM56;SRRT;RTF1;TXN;HSD17B10;RCC1L;HELZ2;PCBP1;RBBP6;ZC3H13;SRSF11;BTF3;APOBEC3D;FDPS;PRPF38B;CDKN2A;KNOP1;LARP7;UPF3B;PRRC2C;ATP5F1C;EIF2S2;EIF2S1;YRDC;LSM6;AGO4;FASN;GOLGB1;UBE2N;ZYX;ESF1;PABPC1L;EIF3A;SUGP2;HSPA1B;TNRC6B
GO_Molecular_Function_2021,"DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)",27/333,0.002620347913364,0.2893489340899456,0,0,1.8859666733587632,11.211031156470016,ATF1;FOXO4;ETS1;BARX2;MYC;ZNF208;STAT6;ZNF721;ZNF225;ZNF224;ZNF345;MYBL1;KLF10;EGR1;MEF2C;SOX12;KLF4;NFKB1;FOSL2;ZNF91;TFDP1;NFIA;DDIT3;CREBRF;HOXB2;MZF1;ZNF112
GO_Molecular_Function_2021,carboxy-lyase activity (GO:0016831),5/23,0.0032105078761521,0.2893489340899456,0,0,5.8811197434948825,33.76542650100828,AMD1;ODC1;MVD;CSAD;PCK2
GO_Molecular_Function_2021,cis-regulatory region sequence-specific DNA binding (GO:0000987),72/1149,0.0032330769799756,0.2893489340899456,0,0,1.4442195547183423,8.281618477656624,ATF1;ZFP82;CHD2;ETS1;CCAR1;MYC;ZNF208;ZNF721;JUNB;MYBL1;KLF10;TGIF1;SREBF1;MEF2C;FOXD1;ZNF160;PAX6;SOX12;SREBF2;ZNF90;ZNF91;DDIT3;ZNF714;HOXB2;TOP1;MZF1;ZNF432;IRF9;HOXB6;JDP2;ZNF431;HOXB5;ZNF112;ZNF430;ZNF793;DLX2;ZNF471;GATA6;CREM;FOXO4;HDAC6;MUC1;ZNF708;MNT;ZFP14;ZNF429;HSF4;STAT6;ZKSCAN4;ZNF225;E2F5;HOXC9;ZNF224;ZNF345;ZNF587;E2F8;HOXC6;BPTF;ZNF221;EGR1;VDR;TIPARP;STAT2;PBX4;KLF4;NFKB1;THAP11;FOSL2;NFATC4;NFIA;ZNF737;BHLHE40
GO_Molecular_Function_2021,Wnt-activated receptor activity (GO:0042813),4/15,0.0038245094706859,0.2893489340899456,0,0,7.693207014714775,42.82289101997251,FZD7;ROR1;TSPAN12;PKD1
GO_Molecular_Function_2021,disulfide oxidoreductase activity (GO:0015036),3/8,0.0043715699894929,0.2893489340899456,0,0,12.68372093023256,68.90600176437047,TMX1;TXNL1;GLRX
GO_Molecular_Function_2021,NF-kappaB binding (GO:0051059),5/25,0.0047034865249165,0.2893489340899456,0,0,5.29245283018868,28.36464283820902,NFKBIA;PSMA6;CDKN2A;FAF1;CDK5RAP3
GO_Molecular_Function_2021,RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978),71/1149,0.0047984897859029,0.2893489340899456,0,0,1.4210569584393364,7.587668315692985,ATF1;ZFP82;CHD2;ETS1;CCAR1;MYC;ZNF208;ZNF721;JUNB;MYBL1;KLF10;TGIF1;SREBF1;MEF2C;FOXD1;ZNF160;PAX6;SOX12;SREBF2;ZNF90;ZNF91;DDIT3;ZNF714;HOXB2;TOP1;MZF1;ZNF432;IRF9;HOXB6;JDP2;ZNF431;HOXB5;ZNF112;ZNF430;ZNF793;DLX2;ZNF471;GATA6;CREM;FOXO4;HDAC6;MUC1;ZNF708;MNT;ZFP14;ZNF429;HSF4;STAT6;ZKSCAN4;ZNF225;E2F5;HOXC9;ZNF224;ZNF345;ZNF587;E2F8;HOXC6;BPTF;ZNF221;EGR1;VDR;STAT2;PBX4;KLF4;NFKB1;THAP11;FOSL2;NFATC4;NFIA;ZNF737;BHLHE40
GO_Molecular_Function_2021,RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977),81/1359,0.0067059677148684,0.3676089574605157,0,0,1.368706786171575,6.850045478544903,ATF1;RB1;ZNF44;ZFP82;CHD2;ETS1;CCAR1;MYC;ZNF208;ZNF404;ZNF721;JUNB;MYBL1;KLF10;TGIF1;SREBF1;MEF2C;FOXD1;PEG3;ZNF160;PAX6;SOX12;SREBF2;ZNF90;ZNF91;TFDP1;DDIT3;ZNF714;HOXB2;TOP1;MZF1;ZNF432;IRF9;HOXB6;JDP2;ZNF431;HOXB5;ZNF112;ZNF430;ZNF793;DLX2;ZNF791;ZNF471;GATA6;CREM;FOXO4;BARX2;HDAC6;MUC1;ZNF708;MNT;ZFP14;ZNF429;HSF4;STAT6;ZKSCAN4;ZNF225;E2F5;HOXC9;ZNF224;ZNF345;ZNF587;ZNF785;E2F8;HOXC6;BPTF;ZNF221;EGR1;VDR;STAT2;PBX4;KLF4;NFKB1;THAP11;FOSL2;NFATC4;NFIA;ZNF737;BHLHE40;CREBRF;ZNF337
GO_Molecular_Function_2021,DNA polymerase binding (GO:0070182),4/18,0.0076950135215139,0.3866744294560778,0,0,6.0437123851758,29.4158526943524,HSP90AA1;PCNA;CDK2AP1;SMARCA4
GO_Molecular_Function_2021,cell-cell adhesion mediator activity (GO:0098632),6/42,0.0110630949662139,0.4370172194957553,0,0,3.529259259259259,15.89627952170564,PDLIM1;ROBO3;NEXN;EMB;CD47;S100A11
GO_Molecular_Function_2021,acetylation-dependent protein binding (GO:0140033),4/21,0.0135158493575173,0.4370172194957553,0,0,4.976392330768228,21.417856413644365,BRD3;KMT2A;PHIP;SMARCA4
GO_Molecular_Function_2021,cysteine-type endopeptidase inhibitor activity involved in apoptotic process (GO:0043027),4/21,0.0135158493575173,0.4370172194957553,0,0,4.976392330768228,21.417856413644365,PRDX3;BIRC2;NAIP;BIRC3
GO_Molecular_Function_2021,histone acetyltransferase binding (GO:0035035),4/21,0.0135158493575173,0.4370172194957553,0,0,4.976392330768228,21.417856413644365,EGR1;PCNA;CITED2;PAX6
GO_Molecular_Function_2021,lysine-acetylated histone binding (GO:0070577),4/21,0.0135158493575173,0.4370172194957553,0,0,4.976392330768228,21.417856413644365,BRD3;KMT2A;PHIP;SMARCA4
GO_Molecular_Function_2021,protein kinase C binding (GO:0005080),6/45,0.0153274075158614,0.4370172194957553,0,0,3.257264957264957,13.609220125002418,TOP2A;CCDC88A;GRK5;ITGAV;HDAC9;DACT1
GO_Molecular_Function_2021,sphingosine-1-phosphate receptor activity (GO:0038036),2/5,0.018707808371929,0.4370172194957553,0,0,14.078908554572273,56.0173624358364,SPHK1;S1PR1
GO_Molecular_Function_2021,C-X3-C chemokine binding (GO:0019960),2/5,0.018707808371929,0.4370172194957553,0,0,14.078908554572273,56.0173624358364,ITGB1;ITGAV
GO_Molecular_Function_2021,chondroitin sulfotransferase activity (GO:0034481),2/5,0.018707808371929,0.4370172194957553,0,0,14.078908554572273,56.0173624358364,CHST7;CHST11
GO_Molecular_Function_2021,collagen binding involved in cell-matrix adhesion (GO:0098639),2/5,0.018707808371929,0.4370172194957553,0,0,14.078908554572273,56.0173624358364,ITGB1;ITGA2
GO_Molecular_Function_2021,N-acetylgalactosamine 4-O-sulfotransferase activity (GO:0001537),2/5,0.018707808371929,0.4370172194957553,0,0,14.078908554572273,56.0173624358364,CHST11;CHST14
GO_Molecular_Function_2021,nucleoside kinase activity (GO:0019206),2/5,0.018707808371929,0.4370172194957553,0,0,14.078908554572273,56.0173624358364,ADK;CMPK1
GO_Molecular_Function_2021,rDNA binding (GO:0000182),2/5,0.018707808371929,0.4370172194957553,0,0,14.078908554572273,56.0173624358364,TSPYL2;BNC1
GO_Molecular_Function_2021,kinase binding (GO:0019900),31/461,0.0188431968605134,0.4370172194957553,0,0,1.537764784053156,6.107391751692736,RB1;ERRFI1;CDKN1A;MIDN;CAB39;FAF1;GATA6;PKD1;RHOBTB2;PRDX3;LAPTM4B;RB1CC1;CIR1;RBBP6;FBXO5;CDK5RAP3;MAP2K3;CDKN2A;GADD45A;PGAM1;TPRKB;PAX6;NISCH;FRMD5;DGKQ;FAS;TRIB3;TRIM38;MAPRE1;CALM2;LAT
GO_Molecular_Function_2021,transforming growth factor beta binding (GO:0050431),4/24,0.0215621746379874,0.4643568323823718,0,0,4.229268292682927,16.226918643775893,ITGAV;LTBP1;THBS1;TGFBR2
GO_Molecular_Function_2021,cell adhesion mediator activity (GO:0098631),4/24,0.0215621746379874,0.4643568323823718,0,0,4.229268292682927,16.226918643775893,ROBO3;NEXN;CD47;EMB
GO_Molecular_Function_2021,protein kinase binding (GO:0019901),33/506,0.0233824289450538,0.464629516590737,0,0,1.4881323423639414,5.589083459980056,ITGB1;TOP2A;ERRFI1;CDKN1A;FAF1;GATA6;HDAC9;PKD1;RHOBTB2;PRDX3;GRK5;RB1CC1;CIR1;ITGAV;RBBP6;FBXO5;CDK5RAP3;DACT1;MAP2K3;HSP90AA1;DUSP1;CDKN2A;PGAM1;TPRKB;PAX6;NISCH;CCDC88A;FRMD5;TRIB3;TRIM38;MAPRE1;CALM2;LAT
GO_Molecular_Function_2021,methylation-dependent protein binding (GO:0140034),7/63,0.0233828386389093,0.464629516590737,0,0,2.647107897664071,9.9418832087452,KDM5A;ING4;L3MBTL1;ZCWPW1;ATRX;MPHOSPH8;BPTF
GO_Molecular_Function_2021,ion channel inhibitor activity (GO:0008200),5/37,0.024726229077943,0.464629516590737,0,0,3.305701997780244,12.230736054697791,ANKRD36C;NEDD4;RASA1;MCUB;CALM2
GO_Molecular_Function_2021,transcription cis-regulatory region binding (GO:0000976),35/549,0.0268890319611545,0.464629516590737,0,0,1.4525546467006485,5.252491069998659,ATF1;RB1;KDM5A;ZNF791;BNC1;GATA6;CREM;ARID4A;ASH2L;ZNF44;ARID4B;BARX2;ETS1;MNT;MYC;ZNF404;STAT6;ZNF785;E2F8;KLF10;EGR1;SREBF1;MEF2C;PEG3;TIPARP;PAX6;SOX12;KLF4;NFKB1;FOSL2;TFDP1;DDIT3;CREBRF;ZNF337;MZF1
GO_Molecular_Function_2021,amidine-lyase activity (GO:0016842),2/6,0.0272258892054837,0.464629516590737,0,0,10.55862831858407,38.04893521176054,CHAC2;CHAC1
GO_Molecular_Function_2021,supercoiled DNA binding (GO:0097100),2/6,0.0272258892054837,0.464629516590737,0,0,10.55862831858407,38.04893521176054,PSIP1;TOP1
GO_Molecular_Function_2021,purine nucleobase transmembrane transporter activity (GO:0005345),2/6,0.0272258892054837,0.464629516590737,0,0,10.55862831858407,38.04893521176054,SLC25A5;SLC25A4
GO_Molecular_Function_2021,epidermal growth factor receptor binding (GO:0005154),4/26,0.0282576542271263,0.464629516590737,0,0,3.8443862124571657,13.710584050309896,ARF4;CCDC88A;HIP1;HBEGF
GO_Molecular_Function_2021,ubiquitin-like protein ligase binding (GO:0044389),20/282,0.0323923298919444,0.464629516590737,0,0,1.622525115020764,5.564991182204063,RB1;CDKN1A;HSP90AA1;FAF1;STAT2;TRAF1;HDAC6;SMAD7;NFKBIA;LAPTM4B;PSMA3;MC1R;UBE2T;SUMO2;UBE2N;SPOPL;TRIB3;SLC25A5;CDK5RAP3;HSPA1B
GO_Molecular_Function_2021,voltage-gated anion channel activity (GO:0008308),3/16,0.0333724843473612,0.464629516590737,0,0,4.876309736774853,16.579567895621246,CLCN6;VDAC2;ANO6
GO_Molecular_Function_2021,chloride transmembrane transporter activity (GO:0015108),3/16,0.0333724843473612,0.464629516590737,0,0,4.876309736774853,16.579567895621246,CLCN7;CLCN6;SLC26A6
GO_Molecular_Function_2021,sulfotransferase activity (GO:0008146),5/40,0.0334340476646273,0.464629516590737,0,0,3.0218804502933247,10.268895240880596,HS3ST3A1;CHST7;CHST11;CHST14;SULT4A1
