Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Nuclear Events Mediated By NFE2L2 R-HSA-9759194,15/78,1.8641192064239464e-06,0.0013668160750276,0,0,5.085511196622308,67.09173489468095,SRXN1;PSMD14;CDKN2A;TXNRD1;SLC7A11;PSMA5;PSMA6;PSMD6;PSMA3;PSMA2;PSMC4;MYC;PSMD2;PSMC2;PHGDH
Reactome_2022,Mitotic G1 Phase And G1/S Transition R-HSA-453279,21/147,3.0199191919413487e-06,0.0013668160750276,0,0,3.5721280602636534,45.40274957275687,RB1;TOP2A;CDKN1A;PCNA;RRM2;PSMD14;CDKN2A;TYMS;PSMA5;PSMA6;PSMD6;PSMA3;TFDP1;CCNE2;PSMA2;PSMC4;MYC;PSMD2;PSMC2;FBXO5;E2F5
Reactome_2022,Cyclin E Associated Events During G1/S Transition R-HSA-69202,15/82,3.5922094861359657e-06,0.0013668160750276,0,0,4.780893512236796,59.93683369892839,RB1;CDKN1A;PSMD14;PSMA5;PSMA6;PSMD6;PSMA3;TFDP1;CCNE2;PSMA2;PSMC4;MYC;PSMD2;PSMC2;E2F5
Reactome_2022,Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,15/84,4.905400058180723e-06,0.0013668160750276,0,0,4.641828917191236,56.74716575907452,RB1;CDKN1A;PSMD14;PSMA5;PSMA6;PSMD6;PSMA3;TFDP1;CCNE2;PSMA2;PSMC4;MYC;PSMD2;PSMC2;E2F5
Reactome_2022,G1/S Transition R-HSA-69206,19/129,5.606300553845862e-06,0.0013668160750276,0,0,3.696792046735677,44.70020277672877,RB1;CDKN1A;PCNA;RRM2;PSMD14;TYMS;PSMA5;PSMA6;PSMD6;PSMA3;TFDP1;CCNE2;PSMA2;PSMC4;MYC;PSMD2;PSMC2;FBXO5;E2F5
Reactome_2022,Gene Expression (Transcription) R-HSA-74160,101/1449,8.701093548329761e-06,0.0014712153270433,0,0,1.651718672245056,19.245928119528124,RB1;SERPINE1;ARID4B;TTF1;PSMD6;PSMD2;CDC26;MYC;ZNF208;SESN2;ZNF721;MEF2C;ZNF160;THOC2;CCNE2;DDIT3;ZNF714;DDIT4;MYL9;SRSF7;ZNF432;ZNF431;ZNF430;L3MBTL1;ZNF793;ZNF791;KMT2A;PSMD14;RRAD;FOXO4;RTF1;ZNF708;ZNF706;ZNF429;SYMPK;ZKSCAN4;ZNF785;BANP;VDR;GADD45A;PLK2;UPF3B;NFKB1;SMARCA4;SMAD7;AGO4;FASN;CDKN1A;SETD9;CITED2;ASH2L;PIDD1;EXO1;MYBL1;TGIF1;SREBF1;HSP90AA1;SEC13;TET1;TFB2M;PSMA5;H2BC12;PSMA6;PSMA3;TFDP1;PSMA2;CRH;SGK1;ZNF112;ZNF471;PCNA;SRRT;HDAC9;THBS1;HDAC6;ZFP14;TP53INP1;ERBB2;ZNF225;E2F5;ZNF224;ZNF587;SRSF11;E2F8;ZNF221;RRM2;CDKN2A;TXNRD1;ARID3A;KLF4;MYO1E;MAPK11;NFIA;PSMC4;ZNF738;CCNG2;ZNF737;PSMC2;ZNF337;TAF3;TNRC6B
Reactome_2022,KEAP1-NFE2L2 Pathway R-HSA-9755511,16/100,1.041249627232399e-05,0.0014712153270433,0,0,4.06848582129481,46.67571948636548,PSMD14;SRXN1;CDKN2A;TXNRD1;SLC7A11;PSMA5;PSMA6;PSMD6;PSMA3;PSMA2;PSMC4;MYC;PSMD2;SESN2;PSMC2;PHGDH
Reactome_2022,Non-integrin membrane-ECM Interactions R-HSA-3000171,10/41,1.0781505309650995e-05,0.0014712153270433,0,0,6.863119239631336,78.49815043062927,ITGB1;LAMA5;ITGB5;SDC4;LAMC3;ITGA2;LAMC2;ITGAV;AGRN;THBS1
Reactome_2022,Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276,12/59,1.0862131208687282e-05,0.0014712153270433,0,0,5.43966871340854,62.17665374108964,PSMA5;PSMA6;CDKN1A;PSMD6;HSP90AA1;PSMA3;PSMD14;PSMA2;PSMC4;PSMD2;PSMC2;MAPRE1
Reactome_2022,Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168,10/42,1.3580282816843126e-05,0.0016554364753731,0,0,6.648297991071429,74.5067549773705,HELZ2;FDPS;SREBF1;MVK;HMGCS1;SCD;FASN;MVD;SREBF2;TM7SF2
