,symbol,Rank
0,NAPB,-0.6719927593318801
1,ADAM15,-0.6796806458610156
2,FRG1BP,-0.6982002959480068
3,ANKRD18DP,-0.7045063088827485
4,INTU,-0.7059872712407257
5,MIR17HG,-0.7105393618848418
6,ZFPM1,-0.7116734166608663
7,ZNF768,-0.7129815084404943
8,ZNF432,-0.7263022586788
9,EPS8L1,-0.7324174969380153
10,MSANTD2,-0.7426025503939475
11,RAB11FIP3,-0.7449321128918193
12,RASA4,-0.7476309167398897
13,ZNF546,-0.7481260698593061
14,XYLB,-0.750611734408852
15,TRIM52-AS1,-0.7525962592507248
16,SULT4A1,-0.7578412669852719
17,ZNF486,-0.762276792682626
18,MGRN1,-0.7698157445208952
19,KMT2E-AS1,-0.7742575762009785
20,SLC43A2,-0.7837630245125217
21,GKAP1,-0.7941536529076905
22,CRELD1,-0.7951034414683817
23,DNAJC27,-0.797421178169786
24,QTRT1,-0.803054955523355
25,FCF1P2,-0.8078846200327979
26,ZNF121,-0.8098840298961206
27,HEXD,-0.8169627014945243
28,PVT1,-0.8177613438043076
29,DYRK1B,-0.818362246352806
30,HOTAIRM1,-0.819305343658464
31,PPP1R3E,-0.824211025642163
32,ZNF611,-0.8308982982129424
33,TMEM265,-0.8323151129004457
34,CLTCL1,-0.8345650293886875
35,ZNF445,-0.8416658127862561
36,ZSWIM9,-0.8420856162779268
37,ZNF225,-0.8444251941749691
38,CENPT,-0.8444634641173491
39,ZNF582-DT,-0.8458923846790423
40,GYS1,-0.8472827736053098
41,SH3BP2,-0.8493955504931645
42,ZNF732,-0.8516519962044539
43,NR6A1,-0.855102214799476
44,VASH1-AS1,-0.8566796774600236
45,SENP3,-0.856967073920355
46,ARHGEF17,-0.859188093269412
47,CTRL,-0.8623060951162553
48,HIP1R,-0.8696539802213289
49,COG7,-0.8711238569753783
50,STARD8,-0.8730329403670175
51,ARSA,-0.8757903372923979
52,ACBD7,-0.8813158939399555
53,CABIN1,-0.881631288476483
54,ZBTB48,-0.8830153367559387
55,ZFTA,-0.8847131736217635
56,ZNF316,-0.895770538827579
57,TIMM23B,-0.8994116315597498
58,CHKB,-0.9025712330059477
59,LCAT,-0.9058858082968333
60,CASKIN1,-0.9107527808112523
61,ZNF264,-0.9157923402890201
62,ZKSCAN8,-0.9209606404196202
63,FAM133B,-0.9232959597538625
64,MIR9-3HG,-0.9285683334869078
65,MRC2,-0.9288498642171057
66,TRIB3,-0.9355320570432453
67,FBXO44,-0.9378906788230879
68,ADAM1A,-0.9389676769210907
69,SAMD1,-0.9393889958895778
70,DGKZ,-0.9394646729178999
71,SLC35E2A,-0.9402071479315117
72,HMGN5,-0.9406212782870903
73,CEP295,-0.9493701114074472
74,TRIM66,-0.9503107932453654
75,ZNF397,-0.9521498796202607
76,GPR162,-0.9532373745086197
77,PRX,-0.9563678856697687
78,ZNF114,-0.9567244030771995
79,CCDC144A,-0.9593097659244237
80,DSTNP2,-0.9596228253118307
81,ZNF320,-0.9703148897722264
82,ADCK5,-0.972267604448745
83,PGBD2,-0.9746891635309068
84,VARS2,-0.9762050118330375
85,ABCD4,-0.978347469039651
86,CREBRF,-0.9814781654655332
87,LINC01535,-0.9901822815784369
88,DUSP18,-0.9913192911078612
89,INPP5B,-0.994133007738973
90,LINC01087,-1.0019213551100679
91,TAF8,-1.0056088292411909
92,RNPC3,-1.0143118009350878
93,FASTK,-1.0149313511632128
94,MCOLN2,-1.022317357611826
95,RGS12,-1.0347514792672257
96,LINC02076,-1.0362310081013912
97,PRKXP1,-1.0405861485477133
98,LRRC14,-1.0419640323838717
99,DMPK,-1.0420045492994283
100,ZNF101,-1.0483530660913871
101,FBXW9,-1.0514018738008661
102,LPAR2,-1.0530981172358187
